word,frequency
사랑,1252
되다,1023
모르다,780
나르다,773
그렇다,757
내다,752
지금,671
가다,663
버리다,647
오다,618
좋다,612
알다,605
세상,605
어떻다,587
마음,582
다시,568
그대,564
아니다,560
우린,519
모든,496
들다,489
이제,481
생각,478
나다,465
순간,462
주다,457
오늘,452
매일,436
웃다,424
사람,407
자다,393
해주다,382
아프다,379
기억,378
노래,361
하루,352
멈추다,329
원하다,318
미치다,315
걸다,309
느끼다,303
잊다,302
믿다,301
괜찮다,289
심장,288
눈물,287
이렇다,286
서로,285
계속,275
기다리다,273
이다,272
보고,268
찾다,265
하늘,264
그냥,262
보이다,256
잡다,256
정말,255
영원하다,249
쉬다,243
싫다,241
위로,238
사이,237
뛰다,235
내일,234
놓다,233
아무,232
만나다,231
바람,230
시작,224
많다,223
차다,222
자꾸,220
모습,218
두다,218
뜨다,213
나오다,210
멀리,208
떠나다,208
위해,207
기분,205
만들다,204
이름,198
말다,198
빠지다,195
해도,193
처음,192
불다,192
따르다,190
빛나다,189
아름답다,187
닿다,186
맞추다,185
사라지다,183
부르다,182
변하다,178
해보다,177
새롭다,176
지다,173
소리,172
어둠,171
가슴,170
안다,170
갈다,169
예쁘다,169
서다,167
추억,162
수가,161
그리다,161
행복하다,160
때문,160
걱정,159
되어다,158
달콤하다,157
멀다,156
작다,154
느낌,153
대다,152
걷다,151
남다,147
누가,144
끄다,144
바라보다,144
잃다,144
달다,144
채우다,143
친구,143
가득,142
살다,142
뜨겁다,142
보내다,140
받다,140
세계,140
그게,139
목소리,137
지키다,136
힘들다,134
흐르다,134
약속,134
제발,134
돌다,134
어리다,134
추다,134
설레다,133
운명,133
여전하다,132
맞다,132
치다,131
먹다,131
끝나다,130
점점,130
한번,129
숨다,128
마지막,128
거리,127
절대,127
고민,126
좋아하다,125
항상,125
넘다,125
다가오다,124
바라다,122
지우다,122
감정,122
깊다,121
걸음,121
눈빛,120
이유,118
아침,117
터지다,116
떨어지다,116
울다,115
대로,114
머리,114
가득하다,113
아래,111
얘기,109
필요하다,109
태양,109
헤매다,109
바보,108
자리,107
똑같다,107
커지다,107
흔들다,107
미안하다,106
지치다,106
슬프다,106
거짓말,104
수많다,104
던지다,104
두렵다,103
영원,102
어제,102
담다,102
우릴,101
꾸다,101
비추다,101
이르다,100
차갑다,100
지나가다,99
얼굴,99
후회,99
이상하다,99
눈부시다,98
여자,98
건지다,97
바다,97
듯이,96
상처,96
크다,95
내겐,95
음악,95
고맙다,95
마주,95
거치다,95
가끔,94
향기,94
그대로,94
돌아오다,94
기다,94
뻔하다,93
감다,92
솔직하다,92
따윈,92
꿈꾸다,92
떨리다,91
미소,91
아무렇다,91
가지,91
날아가다,91
사실,90
비밀,90
구름,89
행복,89
죽다,89
여기다,89
어느새다,88
반복,88
하얗다,88
헤어지다,87
입술,87
돌아가다,87
대도,87
나쁘다,86
달리다,86
따다,85
아주,85
듣다,85
이별,85
그날,84
시선,84
완벽하다,84
참다,83
멀어지다,83
상상,82
열다,82
놓치다,82
계절,82
현실,82
보여주다,81
잠들다,81
의미,81
스치다,81
태우다,81
기대,81
내리다,81
울리다,80
들리다,80
자꾸만,79
무너지다,79
가장,79
표정,79
진짜,79
준비,79
달빛,78
고백,78
어쩌면,78
가까이,77
우주,77
뭐라다,76
선택,76
이끌다,76
지나다,75
라면,75
인생,75
미래,75
그립다,75
거울,75
걸어가다,74
써다,74
너머,74
소중하다,74
다르다,73
막다,73
아픔,73
밝다,73
깊이,73
최고,73
특별하다,73
꺼내다,72
그녀,72
몰래,72
느껴지다,71
요즘,71
돌리다,70
기적,70
겨울,70
쓰다,69
밟다,69
갖다,69
멋지다,69
삼키다,69
여름,68
웃음,68
잡고,68
슬픔,68
남자,67
나야,67
숨기다,67
피어,67
새벽,66
춤추다,66
무대,66
다치다,66
외치다,65
홀로,65
달라,64
길다,64
나가다,64
때론,64
햇살,64
즐기다,64
리듬,64
떠오르다,63
불안하다,63
올리다,63
쌓이다,63
장난,63
달려가다,63
꿈속,62
늘다,62
위험하다,62
반짝이다,62
쏟아지다,62
불꽃,62
낯선,62
무섭다,61
묻다,61
늦다,61
가지다,61
자유,61
어렵다,61
날개,61
감추다,61
진심,61
눈치,60
필요,60
놀다,60
보지,60
종일,60
태어나다,60
거짓,60
높다,60
보이지,59
고프다,59
대신,59
펼쳐지다,59
별빛,59
미로,58
밤하늘,58
세다,58
감싸다,58
선명하다,58
기도,58
이야기,58
궁금하다,57
이면,57
외롭다,57
누군가,57
바꾸다,57
갈수록,57
지나,56
