recording_mbid,recording_title,recording_artist_credit,release_title,release_group_title,release_group_type,release_date,release_country,release_status,release_barcode,disc_number,track_number,label_name,catalog_number,release_mbid,lyrics
d51f3337-7b95-4e99-a4c3-635a4614c788,Honey,박진영,Game,Game,Album,2001/6/1,KR,Official,,2,10,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"Oh! Honey!

그대를 처음 본 그 순간
난 움직일 수가 없었지 (mhmm)
그대 그 아름다운 모습
난 넋을 잃고야 말았지 (yeah)
그대의 아름다운 그 미소가
나를 사로잡았지 예

Hey 거기 그래 자기 왠만하면 내게 오지
우리 여기에서둘이 멋진 밤을 함께 하지
Oh honey, oh baby 어쩜 아름답기도 하지
내게 오지 나를 믿지 절대 후회할리 없지

그대의 그 섹시한 눈빛
Oh 나를 또 바라보았지 (mhmm)
눈빛이 마주치는 순간
난 숨을 쉴 수가 없었지 (yeah)
그대야 말로 하늘이 내려주신
진정한 honey이지 oh

Hey거기 그래 자기 왠만하면 내게 오지
우리 여기에서 둘이 멋진 밤을 함께 하지
Oh honey, oh baby 어쩜 아름답기도 하지
내게 오지 나를 믿지 절대 후회할리 없지

Now everybody party (hey! hey!)

내게로 걸어오는 그대
난 바라볼 수가 없었지 (ohh)
걸어오는 그대의 모습
너무 눈부시기 때문이지 (ohh)
이제서야 비로소 나
새로운 사랑에 눈을 뜬거지 (mmhm)

Hey 거기 그래 자기 왠만하면 내게 오지
우리 여기에서 둘이 멋진 밤을 함께 하지
Oh honey, oh baby 어쩜 아름답기도 하지
내게 오지 나를 믿지 절대 후회할리 없지

Hey 거기 그래 자기 왠만하면 내게 오지
우리 여기에서 둘이 멋진 밤을 함께 하지
Oh honey, oh baby 어쩜 아름답기도 하지
내게 오지 나를 믿지 절대 후회할리 없지"
3ab27d4d-484e-40e5-8f75-23c99b3c9278,Swing Baby,박진영,Game,Game,Album,2001/6/1,KR,Official,,1,1,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"저, 저기요, 저, 혹시좀 빠른거 없나요?
어, 어, 우

오, 그대가 이쪽을 보게
제발 나와 눈이 마주치게 해달라고
하늘에 빈게 맞아 떨어진게 분명해
오, 날보고 살짝 웃는 그대
그 미소가 정말 궁금해
그대도 내 맘과 같은지
아니면 날 그냥 비웃는건지

오, 내 마음을 읽었는지 내게 다가오는 그대
한걸음씩 내게 다가올수록 내 가슴은 뛰네
오, 내 손을 살며시 그대의 어깨에 얹네
그리고 나와 눈을 맞추고 이렇게 말했네, ""추실까요?""

오, swing, swing, swing, my baby
빙빙빙, 나와 돌아봐
오, 싱, 싱, 싱그러운
그대의 향기가 내 몸에 베게
오, swing, swing, swing, my baby
Bring, bring, bring your love to me
오, 그대의 맘속에
지울수 없는 밤으로 남게, let's dance

오, 12시 종이 울리네
그러자 그대가 시계를 보네
혹시 난 그대도 신데렐라 처럼 가진 않을지
걱정을 하니 긴장이 돼
나의 스텝이 자꾸 엉키네
애써 태연한 척 해보려 해도
자꾸 눈치만 보네

오 내 마음을 알았는지 그대 뭔가 말하려 하다가
또 시계를 보고 참 망설이네
오, 왜 이렇게 내 맘을 애태우는건지
그러다 그대 결심을 한듯 이렇게 말했네, ""계속추죠""

오, swing, swing, swing, my baby
빙빙빙, 나와 돌아봐
오, 싱, 싱, 싱그러운
그대의 향기가 내 몸에 베게
오, swing, swing, swing, my baby
Bring, bring, bring your love to me
오, 그대의 맘속에
지울수 없는 밤으로 남게, let's dance

Let's dance

오, swing, swing, swing, my baby
빙빙빙, 나와 돌아봐
오, 싱, 싱, 싱그러운
그대의 향기가 내 몸에 베게
오, swing, swing, swing, my baby
Bring, bring, bring your love to me
오, 그대의 맘속에
지울수 없는 밤으로 남게, let's dance"
5ed39871-b1de-4e5f-9543-d59215f9252f,난,박진영,Game,Game,Album,2001/6/1,KR,Official,,2,9,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"넌 넌 괜찮니 행복하니
그사람이 널 내가 아끼듯
아끼고 위하니, 넌 다잊었니
우리 사랑 그 입맞춤을

그 추억들을 잊고 살수 있니
난... 이렇게 그대를보낼수는 없기에
이렇게 그대를 보고있어
난... 우리의 이별을 받아 들일 수 없기에
돌아 오기 만을 바랄께

난 너를 기다릴께 넌 넌 괘찮니 행복하니
그사람이 널 내가 아끼듯 아끼고 위하니
넌 다잊었니 우리 사랑 그 입맞춤을

그 추억들을 잊고 살수 있니
난... 이렇게 그대를 보낼 수는 없기에
이렇게 그대를 보고있어
난... 우리의 이별을 받아 들일 수 없기에
돌아 오기 만을 바랄께

난 너를 기다릴께 기다릴수 밖에
내겐 아무것도 없는걸 살아온 의미도
살아가야할 이유도 내겐 너 하나 뿐인걸...

난... 우리의 이별을 받아 들일수 없기에
돌아 오기만을 바랄께
난... 너를 기다릴께..."
4ce3e7ff-e14b-4c49-9ac8-be789484d356,난 여자가 있는데,박진영,Game,Game,Album,2001/6/1,KR,Official,,1,3,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"(Woo, mm-mm)
(Mm-mm)

니가 오기 전까진 우린 아무 문제가 없었어
세상 누구보다도 다정한 연인이었어
어느 누구도 우리 사이를
갈라놓을 수는 없다고 믿고 있었어

하지만 이젠 너를 만난 후엔
내 가슴 속에 지켜온 믿음이 무너지고
니가 없이는 난 하루도 살 수가 없을 것 같은데

난 여자가 있는데 자꾸 이러면 안 되는데
너만 보면 난 자꾸 마음이 흔들려
내가 여자가 있는 게 자꾸만 후회가 돼
너만 내 곁에 오면
난 그렇게 돼 어떡해 어떡해

전화벨이 울리면 그녀가 곁에 있는데도
너이기를 바라는 내 모습을 바라보면
어떻게 내가 이렇게 너를
그리워할 수 있는지 믿을 수 없어

하지만 내가 이래선 안 된다고
그녀를 절대 울려서는 안 된다고
다짐을 해봐도
널 향한 마음은 커져만 가는데

난 여자가 있는데 자꾸 이러면 안 되는데
너만 보면 난 자꾸 마음이 흔들려
내가 여자가 있는게 자꾸만 후회가 돼
너만 내 곁에 오면 난 그렇게 돼 어떡해, 어떡해

가슴이 너무 아파
숨을 쉴 수가 없고
앞이 보이질 않아
어디로 갈지를 몰라 (Ah)

난 여자가 있는데 자꾸 이러면 안 되는데
너만 보면 난 자꾸 마음이 흔들려
내가 여자가 있는게 자꾸만 후회가 돼
너만 내 곁에 오면 난 그렇게 돼 어떡해 어떡해

어떡해, 어떡해
어떡해, 어떡해 (Eh-eh)
어떡해, 어떡해"
7df7bc23-190e-4a4a-9b91-7748363e5dae,날 떠나지마,박진영,Game,Game,Album,2001/6/1,KR,Official,,2,1,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"Co-co-co-co-come on!

멀어지는 너의 모습은
나의 눈물 속에서 점점 더 번져가고
작아지는 널 느낄수록
내 마음 속에서 넌 커져가고

하지만, 난 괜찮아
내 사랑이 떠나는 널
다시 내게 돌려줄 걸
난 알아, 난 알아

날 떠나지마
가는 널 볼 수가 없어 (Ooh-ooh-ooh-ooh-ooh)
넌 떠나지만
난 뒷모습만 보며 서 있어 (Ooh-ooh-ooh)
다시 한 번 말하지만
제발 날 떠나지마 (Ooh-ooh-ooh-ooh-ooh)
내 사랑이 너의 오는 길을 비춰줄 거야, oh baby

희미해진 너를 보면서
나의 그리움들은 커져가고

하지만 난 괜찮아
내 사랑이 떠나는 널 다시 내게
돌려줄 걸 난 알아, 난 알아

날 떠나지마
가는 널 볼 수가 없어 (Ooh-ooh-ooh-ooh-ooh)
넌 떠나지만
난 뒷모습만 보며 서 있어 (Ooh-ooh-ooh)
다시 한 번 말하지만
제발 날 떠나지마 (Ooh-ooh-ooh-ooh-ooh)
내 사랑이 너의 오는 길을 비춰줄 거야, oh baby

날 떠나지마
가는 널 볼 수가 없어 (Ooh-ooh-ooh-ooh-ooh)
넌 떠나지만
난 뒷모습만 보며 서 있어 (Ooh-ooh-ooh)
다시 한 번 말하지만
제발 날 떠나지마 (Ooh-ooh-ooh-ooh-ooh)
내 사랑이 너의 오는 길을 비춰줄 거야, oh baby"
5df5bb4f-820b-46a6-baa6-304aa6850475,방문에서 침대까지,박진영,Game,Game,Album,2001/6/1,KR,Official,,1,2,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어

이리와 어서 문을 열고 들어와
여기 기다리는 나의 품으로 와
너의 마음과 몸이 따로 놀아
어서 너의 몸을 자유롭게 풀어놔
내게 맡겨봐 너의 꿈과
상상을 초월하는 세계를 경험해봐
다시는 나 없이 살아갈 수가 없이
변하게 될 테니 어서 이리와

눈 감아봐
그리고 천천히 나를 느껴봐
날 불러봐
내가 누군지 내 이름을 불러봐

구름 위를 날아다니게 해줄게
아니 아예 너의 몸이 구름이 되게
그래서 떠오르는 것처럼 느끼게
그렇게 해줄 테니 내가 시키는 대로해
내가 시키는 대로 해도 절대로 후회 안해
영원히 영원히 나를 잊지 못해
다른 남자들은 다시는 사랑하지 못해
그럼 어떡해 영원히 나만 사랑하면 돼

눈 감아봐
그리고 천천히 나를 느껴봐
날 불러봐
내가 누군지 내 이름을 불러봐

방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어
방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어

눈 감아봐
그리고 천천히 나를 느껴봐
날 불러봐
내가 누군지 내 이름을 불러봐

방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어
방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어

방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어
방문에서 침대까지, 안아주고 싶어
침대에서 바닥까지, 떨어지고 싶어
머리에서 발끝까지, 입맞추고 싶어
저녁부터 아침까지, 반복하고 싶어"
a875281b-621a-4245-af52-edefa09921be,음음음,박진영,Game,Game,Album,2001/6/1,KR,Official,,1,4,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"그댈 저기서 보고 있자니
도저히 참을 수가 없네요 음음
어쩜 그렇게도 예쁜가요
그대가 정녕 사람 인가요 예에
그대 아름다움은
전에 본 적이 없는
정말 신비로운 것이예요 예에
그러니 날 제발 피하지 말고
그대여 내게 맘을 열어요 예에
Come on now

나 그대 음음음
오늘 우리 둘이서 음음음
세상 사람들 모두 다 음음
그러니 우리들도 자 음음

내 이름은 이미 아시겠구요
여자가 있는 몸이지만요 예에
그대가 날 정말 원하신다면
다시 생각해 볼 수 있어요 예에
그러니 그대와 나
오늘 여기서 만나
역사를 바꿀 수도 있어요 예에
어때요 날 두고 떠날 건가요
아니면 함께 떠날 실까요 예에
Come on now

나 그대 음음음
오늘 우리 둘이서 음음음
세상 사람들 모두 다 음음
그러니 우리들도 자 음음
Bring it on

그댄 내가 아무에게나
이런다고 생각하겠지만 oh no
나 역시 날 가볍게 굴리는
그런 사람은 아니에요 믿어요 오

나 그대 음음음
오늘 우리 둘이서 음음
세상 사람들 모두 다 음음
그러니 우리들도 자 음음
Bring it on"
cadf80f2-70a2-4394-b4d5-23678f59e69b,창살없는 감옥,박진영,Game,Game,Album,2001/6/1,KR,Official,,1,6,JYP Entertainment,[none],88069b7e-9ebc-4356-a7f4-8617662086d7,"날 놓아줘 풀어줘 창살 없는 감옥에 날 가두고
누구에게도 가지 못하는 바보로 만들지 말고

왜 날 괴롭히니 왜 자꾸 날 애를 태우니
잘해주지도 않으면서 왜 끝내진 않니
왜 난 이러는지 니가 싫어진건 아닌데
왠지 함께 있기는 싫어 널 피하게 되니
날 놓아줘 풀어줘 창살 없는 감옥에 날 가두고
누구에게도 가지 못하는 바보로 만들지 말고
기다려줘 믿어줘 내 사랑이 다 끝난건 아냐
나에게 조금만 더 시간을 줘
널 향한 나의 마음을 결정할 때까지

또 날 피하는 거니 이틀째 또 연락이 없니
이럴바엔 날 좀 제발 끝내주지 그러니
미안해 아직도 난 내 마음이 어떤지 몰라
괜히 널 보내고 나면 후회할 것만 같아
날 놓아줘 (no) 풀어줘 (no)
창살 없는 감옥에 날 가두고
누구에게도 가지 못하는 바보로 만들지 말고
기다려줘 (no) 믿어줘 (no)
내 사랑이 다 끝난건 아냐
나에게 조금만 더 시간을 줘
널 향한 나의 마음을 결정할 때까지

난 너를 보내 주려고 결심을 해보면
너무 맘이 아파
하지만 더 이렇게는 견딜수가 없어
어서 말을 해줘
날 놓아줘 (no) 풀어줘 (no)
창살 없는 감옥에 날 가두고
누구에게도 가지 못하는 바보로 만들지 말고
기다려줘 (no) 믿어줘 (no)
내 사랑이 다 끝난건 아냐
나에게 조금만 더 시간을 줘
널 향한 나의 마음을 결정할 때까지"
2dc7b2c3-ffd7-4a97-b9a2-7f416ffff563,Baby Baby,비,나쁜 남자,나쁜 남자,Album,2002/5/13,KR,Official,,1,6,JYP Entertainment,,3b4f4e8b-1d8e-4c5b-91ee-971342790e12,"Baby baby 좀 더 사랑해줘
날 사랑하면 좀 더 꼭안아줘
이끄는대로 그저 따라가고싶은
너 하나뿐인 내맘을 왜몰라
이바보
오늘도 속만 상했어
미적지근 애태우는 너때문에
온종일 시큰둥한 얼굴에
잘자라는 입맞춤도 없이 안녕
자꾸만 듣고싶은말
사랑한단 짧은 한마디
더 따스한 손길
받고싶은 날 알잖아
여자맘 잘아는 남자가 되기바래
Baby baby 좀 더 사랑해줘
날 사랑하면 좀 더 꼭안아줘
상상만해도 가슴 뛰고 보고싶은
그렇게 뜨거운 사랑을 바래
Oh baby baby 좀 더 남자답게
날 사랑하면 좀 더 용감하게
이끄는대로 그저 따라가고싶은
너 하나뿐인 내맘을 왜몰라
이바보
괜스래 신경못썼어
설친잠에 안받는 화장때문에
새로 한 머리 하나도
눈치못채 무관심한 너일텐데
자꾸만 듣고싶은말
사랑한단 짧은 한마디
따스한손길 받고싶은 날 알잖아
더 여자맘 잘아는 남자가 되길바래
Baby baby 좀 더 사랑해줘
날 사랑하면 좀 더 꼭안아줘
상상만해도 가슴 뛰고 보고싶은
그렇게 뜨거운 사랑을 바래
Oh baby baby 좀 더 남자답게
날 사랑하면 좀 더 용감하게
이끄는대로 그저 따라가고싶은
너 하나뿐인 내맘을 왜몰라
이바보
가끔은 나 철없는 아이처럼
니 어깨에 기대 잠들고싶어
나 소중하게 날 보살펴줘 oh
가만히 내 두볼에 입을 맞춰
늘 함께하는 꿈에 살수있게
So baby 좀더 다가와줘
조용히 내게 속삭여줘
언제든 니맘 안에 살고있는
포근한 느낌에 살수있게
Oh baby baby 좀 더 남자답게
날 사랑하면 좀 더 용감하게
이끄는대로 그저 따라가고싶은
너 하나뿐인 내맘을 왜몰라
이바보"
e912e4d8-db8c-44d0-a2c4-79a1bede4ca3,나,비,나쁜 남자,나쁜 남자,Album,2002/5/13,KR,Official,,1,4,JYP Entertainment,,3b4f4e8b-1d8e-4c5b-91ee-971342790e12,"내가 이루고 싶은 꿈을 향해 걸어갈 때
끝이 보이지도 않는 길을 향해 걸어갈 때
주위의 모든 사람들 계속 안되는 이유들만
내게 말해대고 계속 겁을 주고 나를 주저 않히려했지만
나는 믿었어 날 나는 알고있었어
날 밟히면 밟힐수록 더욱 강해지는 잡초같은 날
비바람이 불어와도 넘어지면 일어나고
결국엔 세상앞에 환한 꽃을 피우고 마는날 say!

나 여기까지 온거야 나 두렵지 않아
나 이제 나의 꿈들을 하나씩 이뤄갈꺼야
나 누가 뭐라고 해도 나 내가 말했던대로
나 이제 나의 모든 걸 하나씩 보여줄꺼야

내가 지금 여기 서있는 이 무대까지
절대로 오지 못할꺼라 말을 했지
하지만 나는 내가 여기 서 있는 모습을
잠이 들 때마다 일어날 때마다
눈앞에 떠올렸어 또 이래서 안된다
넌 그래서 안될꺼다 그런 말들을 때마다
나는 더욱 힘이 났어 포기하고 싶을때나
주저앉고 싶을 때면 그 말들을 계속 떠올리며
미소를 지으며 일어났어

나 여기까지 온거야 나 두렵지 않아
나 이제 나의 꿈들을 하나씩 이뤄갈꺼야
나 누가 뭐라고 해도 나 내가 말했던대로
나 이제 나의 모든 걸 하나씩 보여줄꺼야

날 언제나 믿어준 친구들과
하늘에서 날 지켜보는 어머니와
그 동안 내가 흘린 땀을 위해서라도
난 절대 쓰러질 수 없어

나 여기까지 온거야 나 두렵지 않아
나 이제 나의 꿈들을 하나씩 이뤄갈꺼야
나 누가 뭐라고 해도 나 내가 말했던대로
나 이제 나의 모든 걸 하나씩 보여줄꺼야

나 여기까지 온거야 나 두렵지 않아
나 이제 나의 꿈들을 하나씩 이뤄갈꺼야
나 누가 뭐라고 해도 나 내가 말했던대로
나 이제 나의 모든 걸 하나씩 보여줄꺼야"
