Topic,Rank,Word,Count,,,,,,,
1,1,love,3780,,,,1,愛情,需求 ,給予
1,2,want,3257,,,,2,動感,狂歡,熱情
1,3,baby,2181,,,,3,悲傷,失去,失戀
1,4,make,1606,,,,4,,,
1,5,say,1375,,,,,,,
1,6,time,1309,,,,,,,
1,7,back,1175,,,,,,,
1,8,right,1174,,,,,,,
1,9,need,1123,,,,,,,
1,10,girl,1099,,,,,,,
1,11,give,1049,,,,,,,
1,12,way,993,,,,,,,
1,13,tell,867,,,,,,,
1,14,night,840,,,,,,,
1,15,run,830,,,,,,,
1,16,keep,809,,,,,,,
1,17,day,802,,,,,,,
1,18,life,794,,,,,,,
1,19,good,786,,,,,,,
1,20,heart,777,,,,,,,
2,1,baby,1016,,,,,,,
2,2,girl,938,,,,,,,
2,3,dance,477,,,,,,,
2,4,boy,369,,,,,,,
2,5,want,366,,,,,,,
2,6,good,327,,,,,,,
2,7,crazy,314,,,,,,,
2,8,tik,270,,,,,,,
2,9,talk,258,,,,,,,
2,10,knock,242,,,,,,,
2,11,love,209,,,,,,,
2,12,pop,205,,,,,,,
2,13,party,204,,,,,,,
2,14,stop,202,,,,,,,
2,15,hot,187,,,,,,,
2,16,high,178,,,,,,,
2,17,shake,172,,,,,,,
2,18,원하다,163,,,,,,,
2,19,위험하다,162,,,,,,,
2,20,que,158,,,,,,,
3,1,사랑,6853,,,,,,,
3,2,baby,6325,,,,,,,
3,3,love,6128,,,,,,,
3,4,나르다,3872,,,,,,,
3,5,되다,3847,,,,,,,
3,6,내다,3737,,,,,,,
3,7,모르다,3725,,,,,,,
3,8,그대,3503,,,,,,,
3,9,버리다,3484,,,,,,,
3,10,그렇다,3471,,,,,,,
3,11,want,3318,,,,,,,
3,12,가다,3187,,,,,,,
3,13,오다,2881,,,,,,,
3,14,지금,2771,,,,,,,
3,15,좋다,2761,,,,,,,
3,16,세상,2749,,,,,,,
3,17,다시,2738,,,,,,,
3,18,알다,2679,,,,,,,
3,19,마음,2573,,,,,,,
3,20,아니다,2563,,,,,,,
4,1,geu,125,,,,,,,
4,2,bang,89,,,,,,,
4,3,eul,88,,,,,,,
4,4,hello,86,,,,,,,
4,5,naega,84,,,,,,,
4,6,eun,81,,,,,,,
4,7,ga,78,,,,,,,
4,8,neun,77,,,,,,,
4,9,ji,74,,,,,,,
4,10,hae,72,,,,,,,
4,11,eo,68,,,,,,,
4,12,baby,62,,,,,,,
4,13,han,60,,,,,,,
4,14,neol,58,,,,,,,
4,15,neon,55,,,,,,,
4,16,thank,55,,,,,,,
4,17,wolf,53,,,,,,,
4,18,love,50,,,,,,,
4,19,geol,50,,,,,,,
4,20,neo,50,,,,,,,
