Topic,Rank,Word,Count,,,,,,
1,1,love,4524,,,,,,
1,2,want,3685,,,,1,愛情,需要
1,3,baby,2358,,,,2,狂歡,夜生活
1,4,make,1734,,,,3,出遊,心意
1,5,say,1519,,,,4,痛苦,失去
1,6,back,1450,,,,5,體面,歡快
1,7,time,1370,,,,6,,
1,8,give,1292,,,,,,
1,9,need,1253,,,,,,
1,10,right,1248,,,,,,
1,11,way,1098,,,,,,
1,12,girl,1038,,,,,,
1,13,tell,1002,,,,,,
1,14,run,993,,,,,,
1,15,day,894,,,,,,
1,16,heart,893,,,,,,
1,17,keep,881,,,,,,
1,18,night,864,,,,,,
1,19,life,855,,,,,,
1,20,good,843,,,,,,
2,1,baby,1250,,,,,,
2,2,girl,1236,,,,,,
2,3,good,495,,,,,,
2,4,boy,465,,,,,,
2,5,dance,461,,,,,,
2,6,want,444,,,,,,
2,7,crazy,429,,,,,,
2,8,love,306,,,,,,
2,9,talk,300,,,,,,
2,10,knock,298,,,,,,
2,11,tik,270,,,,,,
2,12,stop,231,,,,,,
2,13,say,213,,,,,,
2,14,여자,205,,,,,,
2,15,pop,198,,,,,,
2,16,원하다,174,,,,,,
2,17,bring,172,,,,,,
2,18,나르다,170,,,,,,
2,19,남자,164,,,,,,
2,20,need,158,,,,,,
3,1,baby,4502,,,,,,
3,2,love,3494,,,,,,
3,3,사랑,2901,,,,,,
3,4,되다,2727,,,,,,
3,5,나르다,2596,,,,,,
3,6,내다,2562,,,,,,
3,7,가다,2442,,,,,,
3,8,want,2361,,,,,,
3,9,모르다,2257,,,,,,
3,10,지금,2178,,,,,,
3,11,오다,2168,,,,,,
3,12,좋다,2153,,,,,,
3,13,버리다,2151,,,,,,
3,14,세상,2135,,,,,,
3,15,오늘,2062,,,,,,
3,16,그렇다,1957,,,,,,
3,17,순간,1895,,,,,,
3,18,모든,1842,,,,,,
3,19,마음,1671,,,,,,
3,20,들다,1665,,,,,,
4,1,사랑,3653,,,,,,
4,2,그대,1846,,,,,,
4,3,love,1762,,,,,,
4,4,그렇다,1334,,,,,,
4,5,baby,1259,,,,,,
4,6,모르다,1259,,,,,,
4,7,버리다,1152,,,,,,
4,8,나르다,1067,,,,,,
4,9,내다,1009,,,,,,
4,10,되다,971,,,,,,
4,11,사람,959,,,,,,
4,12,아프다,954,,,,,,
4,13,아니다,944,,,,,,
4,14,다시,910,,,,,,
4,15,알다,896,,,,,,
4,16,잊다,857,,,,,,
4,17,이제,824,,,,,,
4,18,눈물,780,,,,,,
4,19,마음,765,,,,,,
4,20,떠나다,760,,,,,,
5,1,que,149,,,,,,
5,2,shake,119,,,,,,
5,3,오빠,99,,,,,,
5,4,baby,82,,,,,,
5,5,party,82,,,,,,
5,6,shirt,76,,,,,,
5,7,amor,69,,,,,,
5,8,right,64,,,,,,
5,9,high,63,,,,,,
5,10,este,60,,,,,,
5,11,eu,60,,,,,,
5,12,summer,56,,,,,,
5,13,en,52,,,,,,
5,14,drift,45,,,,,,
5,15,bi,44,,,,,,
5,16,rewind,38,,,,,,
5,17,뜨다,34,,,,,,
5,18,alive,33,,,,,,
5,19,le,32,,,,,,
5,20,starry,32,,,,,,
6,1,geu,144,,,,,,
6,2,baby,133,,,,,,
6,3,eul,109,,,,,,
6,4,naega,99,,,,,,
6,5,think,99,,,,,,
6,6,eun,95,,,,,,
6,7,neol,93,,,,,,
6,8,deo,82,,,,,,
6,9,eo,76,,,,,,
6,10,alright,72,,,,,,
6,11,neo,71,,,,,,
6,12,hae,69,,,,,,
6,13,neon,68,,,,,,
6,14,good,68,,,,,,
6,15,love,59,,,,,,
6,16,han,56,,,,,,
6,17,ga,56,,,,,,
6,18,carnival,55,,,,,,
6,19,dasi,54,,,,,,
6,20,life,54,,,,,,
