Song_ID,Topic_Group,Generated_Time,lyrics,korean_lyrics,english_lyrics,korean_tokens,english_tokens,final_tokens
1,Topic 2 (Generated),2025-12-03 18:22:11,"yo, there's just want to seen?
What's kind of happiness, yeah
Only one, girl (Uh-uh)
Come and rolls with me, I do calling for two, our prepont
Now long (Ha, ha-oh)
Gotta let amazed!
Dance with themselves into my special aviation
And never be lazy, alright
She's four untime and animals, asphirations at me.
The visual rear 고릴라처럼
날까? 아닐지 몰라 넌 오늘밤은 꿈 꾸기 시작해
Baby storybook at me, for me, for move
내 머릿속 감옥 탈",고릴라처럼 날까 아닐지 몰라 넌 오늘밤은 꿈 꾸기 시작해 내 머릿속 감옥 탈,yo there s just want to seen What s kind of happiness yeah Only one girl Uh uh Come and rolls with me I do calling for two our prepont Now long Ha ha oh Gotta let amazed Dance with themselves into my special aviation And never be lazy alright She s four untime and animals asphirations at me The visual rear Baby storybook at me for me for move,"['고릴라', '날다', '아니다', '모르다', '오늘밤', '꾸다', '시작', '머릿속', '감옥']","['want', 'seen', 'kind', 'happiness', 'girl', 'roll', 'call', 'prepont', 'long', 'amazed', 'dance', 'special', 'aviation', 'lazy', 'alright', 'untime', 'animal', 'asphiration', 'visual', 'rear', 'baby', 'storybook', 'move']","['고릴라', '날다', '아니다', '모르다', '오늘밤', '꾸다', '시작', '머릿속', '감옥', 'want', 'seen', 'kind', 'happiness', 'girl', 'roll', 'call', 'prepont', 'long', 'amazed', 'dance', 'special', 'aviation', 'lazy', 'alright', 'untime', 'animal', 'asphiration', 'visual', 'rear', 'baby', 'storybook', 'move']"
2,Topic 2 (Generated),2025-12-03 18:22:14,"걸쳐 난 그냥 직진
원래 이런 식이야, baby (Oh)

아무도 모르게 널 향해 다가와서
그녀의 그런 그 눈빛에
넌 너무 나를 조심스레 신경 쓰지마
난 너의 매력 좀 볼 때 말이야
And you know me wild and I said on finger in the rule that tonight
Works to records are an amazing of love, okay
So come party, action to speechless 더 크게 소리질러 질러봐
내게 다가오는 make it down
Baby, come party all night, 내 리듬대로 higher plus baby (Hello, girl)
너의 매끄러운 손짓에
좀 더 가까이 내게 다가가줘 (매년 적잖은 실례)
All",걸쳐 난 그냥 직진 원래 이런 식이야 아무도 모르게 널 향해 다가와서 그녀의 그런 그 눈빛에 넌 너무 나를 조심스레 신경 쓰지마 난 너의 매력 좀 볼 때 말이야 더 크게 소리질러 질러봐 내게 다가오는 내 리듬대로 너의 매끄러운 손짓에 좀 더 가까이 내게 다가가줘 매년 적잖은 실례,baby Oh And you know me wild and I said on finger in the rule that tonight Works to records are an amazing of love okay So come party action to speechless make it down Baby come party all night higher plus baby Hello girl All,"['걸치다', '그냥', '직진', '원래', '이렇다', '식이', '아무', '모르다', '다가오다', '그녀', '그렇다', '눈빛', '나르다', '조심', '스레', '신경', '쓰다', '매력', '크게', '소리', '지르다', '지르다', '내다', '다가오다', '리듬', '매끄럽다', '손짓', '가까이', '내다', '다가가다', '매년', '적다', '실례']","['baby', 'wild', 'say', 'finger', 'rule', 'tonight', 'work', 'record', 'amazing', 'love', 'party', 'action', 'speechless', 'make', 'baby', 'party', 'night', 'higher', 'plus', 'baby', 'hello', 'girl']","['걸치다', '그냥', '직진', '원래', '이렇다', '식이', '아무', '모르다', '다가오다', '그녀', '그렇다', '눈빛', '나르다', '조심', '스레', '신경', '쓰다', '매력', '크게', '소리', '지르다', '지르다', '내다', '다가오다', '리듬', '매끄럽다', '손짓', '가까이', '내다', '다가가다', '매년', '적다', '실례', 'baby', 'wild', 'say', 'finger', 'rule', 'tonight', 'work', 'record', 'amazing', 'love', 'party', 'action', 'speechless', 'make', 'baby', 'party', 'night', 'higher', 'plus', 'baby', 'hello', 'girl']"
3,Topic 2 (Generated),2025-12-03 18:22:18,"젠이 어떤 놈일까
오늘 밤, 비 온 뒤의 모습
내 앞에 서 있는 마법 같은 right, eyes, always go (All the fast to speed)
You like 이 밤이 너를 갈라놓을 텐데
자꾸 겹쳐진 시선들 참아야 해
We're up now me, that's high한 내 맘속
Take another boys, ooh-ooh
I wanna dance with your phonetizen about myself (Only one) You care with you and I (Here wanna knock for you) One and of hear?
So in or imme, all of me? Pulsequick (Here wanna knock for you) I wanna dance with y",젠이 어떤 놈일까 오늘 밤 비 온 뒤의 모습 내 앞에 서 있는 마법 같은 이 밤이 너를 갈라놓을 텐데 자꾸 겹쳐진 시선들 참아야 해 한 내 맘속,right eyes always go All the fast to speed You like We re up now me that s high Take another boys ooh ooh I wanna dance with your phonetizen about myself Only one You care with you and I Here wanna knock for you One and of hear So in or imme all of me Pulsequick Here wanna knock for you I wanna dance with y,"['어떻다', '이다', '오늘', '모습', '서다', '마법', '가르다', '자꾸', '치다', '시선', '참다', '맘속']","['right', 'eye', 'fast', 'speed', 'high', 'another', 'boy', 'want', 'dance', 'phonetizen', 'care', 'want', 'knock', 'hear', 'imme', 'pulsequick', 'want', 'knock', 'want', 'dance']","['어떻다', '이다', '오늘', '모습', '서다', '마법', '가르다', '자꾸', '치다', '시선', '참다', '맘속', 'right', 'eye', 'fast', 'speed', 'high', 'another', 'boy', 'want', 'dance', 'phonetizen', 'care', 'want', 'knock', 'hear', 'imme', 'pulsequick', 'want', 'knock', 'want', 'dance']"
4,Topic 2 (Generated),2025-12-03 18:22:22,"젠, it's talk to do, this ride
어지러운 끌림 돌던 맘이 모두 멈추어 버렸어 난
Notice for you and I'm on the front (What) of my love, girl!
날 미치게 하는 second break, it's talk to do with world-peanin' at 
(Yeah, yeah)
난 너를 원하지 않아 (Uh,uh), 나조차 원하고 있어
(Take it to do) 널 갖고 싶어
(Don’t know about us with now, ooh-ooh, or Noah)
(I want it from anyone crayers, aspirations into a Here)
And hell a boys, aspiration",젠 어지러운 끌림 돌던 맘이 모두 멈추어 버렸어 난 날 미치게 하는 난 너를 원하지 않아 나조차 원하고 있어 널 갖고 싶어,it s talk to do this ride Notice for you and I m on the front What of my love girl second break it s talk to do with world peanin at Yeah yeah Uh uh Take it to do Don t know about us with now ooh ooh or Noah I want it from anyone crayers aspirations into a Here And hell a boys aspiration,"['어지럽다', '끌리다', '돌다', '멈추다', '버리다', '미치다', '원하다', '원하다', '갖다']","['talk', 'ride', 'notice', 'front', 'love', 'girl', 'second', 'break', 'talk', 'world', 'peanin', 'noah', 'want', 'anyone', 'crayer', 'aspiration', 'hell', 'boy', 'aspiration']","['어지럽다', '끌리다', '돌다', '멈추다', '버리다', '미치다', '원하다', '원하다', '갖다', 'talk', 'ride', 'notice', 'front', 'love', 'girl', 'second', 'break', 'talk', 'world', 'peanin', 'noah', 'want', 'anyone', 'crayer', 'aspiration', 'hell', 'boy', 'aspiration']"
5,Topic 2 (Generated),2025-12-03 18:22:25,"르-달라, 달라도 (그런 생각을 하지 못하겠어 정말)

That's rule it, this feeling?
Let me, girls!

아무 말 말고 내게로 다가와
Representation을 말해봐
'Cause) talk to bad
여보세요?
자꾸 쳐다보니까, really?
Ooh! 봐요 내 귀엔 so crazy, you know want?
너 혹시 모르니? (All I need a hot) Oh!
이렇게 해봤자, 뭐가 있겠지
내숭 없는 놈들아, 그건 자명해
패거리도 너를 넘어서 위험해, ooh~
(위험해) 또 저기 거기서
나 혼자 있지 원하면 되지

Butterfly in the phonetiful party for d",르 달라 달라도 그런 생각을 하지 못하겠어 정말 아무 말 말고 내게로 다가와 을 말해봐 여보세요 자꾸 쳐다보니까 봐요 내 귀엔 너 혹시 모르니 이렇게 해봤자 뭐가 있겠지 내숭 없는 놈들아 그건 자명해 패거리도 너를 넘어서 위험해 위험해 또 저기 거기서 나 혼자 있지 원하면 되지,That s rule it this feeling Let me girls Representation Cause talk to bad really Ooh so crazy you know want All I need a hot Oh ooh Butterfly in the phonetiful party for d,"['달라', '달라', '그렇다', '생각', '정말', '아무', '내게로', '다가오다', '해보다', '자꾸', '쳐다보다', '모르다', '해봤다', '내숭', '자명하다', '패거리', '넘어서다', '위험하다', '위험하다', '거기', '원하다', '되다']","['rule', 'feeling', 'girl', 'representation', 'talk', 'bad', 'really', 'crazy', 'want', 'need', 'hot', 'butterfly', 'phonetiful', 'party']","['달라', '달라', '그렇다', '생각', '정말', '아무', '내게로', '다가오다', '해보다', '자꾸', '쳐다보다', '모르다', '해봤다', '내숭', '자명하다', '패거리', '넘어서다', '위험하다', '위험하다', '거기', '원하다', '되다', 'rule', 'feeling', 'girl', 'representation', 'talk', 'bad', 'really', 'crazy', 'want', 'need', 'hot', 'butterfly', 'phonetiful', 'party']"
6,Topic 2 (Generated),2025-12-03 18:22:29,"걸쳐 더 가까이 퍼져가
위험해 넌 멀고도 먼 미래까지 (Bring you think I can't with me, baby)
시선들은 top down
저 멀리서도 (That's fine), 다가올 세상의 rule
어깨 무릎 발끝 아찔한 데이트 (Comewood, shake and get lits) 
아니 저 멀리서부터, 가까이 와, baby, 어디든지 상관없어, ayy!
너와 함께면 내가 face the hourer
날 감싸 안아줘
Give me party for you, oh, ooh-ooh, ooh-ooh, ooh-ooh
With too, with too, With too, you gotta
All I know the crowd off

Burnin', 'blah",걸쳐 더 가까이 퍼져가 위험해 넌 멀고도 먼 미래까지 시선들은 저 멀리서도 다가올 세상의 어깨 무릎 발끝 아찔한 데이트 아니 저 멀리서부터 가까이 와 어디든지 상관없어 너와 함께면 내가 날 감싸 안아줘,Bring you think I can t with me baby top down That s fine rule Comewood shake and get lits baby ayy face the hourer Give me party for you oh ooh ooh ooh ooh ooh ooh With too with too With too you gotta All I know the crowd off Burnin blah,"['걸치다', '가까이', '퍼지다', '위험하다', '멀다', '멀다', '미래', '시선', '멀리', '서도', '다가오다', '세상', '어깨', '무릎', '발끝', '아찔하다', '데이트', '아니다', '멀리', '가까이', '오다', '상관없다', '감싸다', '안다']","['bring', 'think', 'baby', 'top', 'fine', 'rule', 'comewood', 'shake', 'lit', 'baby', 'face', 'hourer', 'give', 'party', 'crowd', 'burnin', 'blah']","['걸치다', '가까이', '퍼지다', '위험하다', '멀다', '멀다', '미래', '시선', '멀리', '서도', '다가오다', '세상', '어깨', '무릎', '발끝', '아찔하다', '데이트', '아니다', '멀리', '가까이', '오다', '상관없다', '감싸다', '안다', 'bring', 'think', 'baby', 'top', 'fine', 'rule', 'comewood', 'shake', 'lit', 'baby', 'face', 'hourer', 'give', 'party', 'crowd', 'burnin', 'blah']"
7,Topic 2 (Generated),2025-12-03 18:22:33,"날 보고 싶어 너의 손을 놓지 못하고 있었어
난 네가 원하는 게 너무나 단순했었잖아
내 맘을 전부 설명 못해줘 (나조차도)
다른 생각은 하지 못했었는데
그래, 네 곁에서 같이 있고 싶었던 걸 더
고마워해, you know me if you wanna say?
네 곁에 계속 있길 바래? I know me, baby
오늘은 familiaries with the amazing on top down for compare.
Microphone over that punch volume 어떡해?
I just no stupid to play good enjoys like Baby, sweet and here is in rule
이러한 식의 표현도 정말 재미없더라 
둘이서 행복하게 살 수 있게
You're alway",날 보고 싶어 너의 손을 놓지 못하고 있었어 난 네가 원하는 게 너무나 단순했었잖아 내 맘을 전부 설명 못해줘 나조차도 다른 생각은 하지 못했었는데 그래 네 곁에서 같이 있고 싶었던 걸 더 고마워해 네 곁에 계속 있길 바래 오늘은 어떡해 이러한 식의 표현도 정말 재미없더라 둘이서 행복하게 살 수 있게,you know me if you wanna say I know me baby familiaries with the amazing on top down for compare Microphone over that punch volume I just no stupid to play good enjoys like Baby sweet and here is in rule You re alway,"['보고', '놓다', '원하다', '단순하다', '설명', '해주다', '생각', '그렇다', '고맙다', '계속', '오늘', '어떻다', '이러하다', '표현', '정말', '재미없다', '둘이서', '행복하다']","['want', 'say', 'baby', 'familiarie', 'amazing', 'top', 'compare', 'microphone', 'punch', 'volume', 'stupid', 'play', 'good', 'enjoy', 'baby', 'sweet', 'rule', 'alway']","['보고', '놓다', '원하다', '단순하다', '설명', '해주다', '생각', '그렇다', '고맙다', '계속', '오늘', '어떻다', '이러하다', '표현', '정말', '재미없다', '둘이서', '행복하다', 'want', 'say', 'baby', 'familiarie', 'amazing', 'top', 'compare', 'microphone', 'punch', 'volume', 'stupid', 'play', 'good', 'enjoy', 'baby', 'sweet', 'rule', 'alway']"
8,Topic 2 (Generated),2025-12-03 18:22:36,"걸쳐이좋아 넌 내게 잘 보여
내 스타일로는 안돼 내 스타일로는 부족해
그래서 널 원했고
널 만날 생각 말고 talk to me (L-E, l-Z)
(That's can I'm fits out) *You know your eyes*(we give the let's starting night)
I want someone. Yeah! Takin’ a hands up?
너를 본 그 순간부터
내가 원하는 건 간단했어 난 너였어
단지 널 갖고 싶어 내가 그댈 갖게 됐어
So baby, so, baby
Baby, so yeah!
Takin’, this time just one, two, set
Up and action, incomed Up
Hears’s’date ",걸쳐이좋아 넌 내게 잘 보여 내 스타일로는 안돼 내 스타일로는 부족해 그래서 널 원했고 널 만날 생각 말고 너를 본 그 순간부터 내가 원하는 건 간단했어 난 너였어 단지 널 갖고 싶어 내가 그댈 갖게 됐어,talk to me L E l Z That s can I m fits out You know your eyes we give the let s starting night I want someone Yeah Takin a hands up So baby so baby Baby so yeah Takin this time just one two set Up and action incomed Up Hears s date,"['걸치다', '좋다', '내다', '자다', '보이다', '스타일', '스타일', '부족하다', '원하다', '만날', '생각', '순간', '원하다', '간단하다', '이다', '갖다', '대다', '갖다']","['talk', 'fit', 'eye', 'give', 'start', 'night', 'want', 'someone', 'takin', 'hand', 'baby', 'baby', 'baby', 'takin', 'time', 'set', 'action', 'income', 'hear', 'date']","['걸치다', '좋다', '내다', '자다', '보이다', '스타일', '스타일', '부족하다', '원하다', '만날', '생각', '순간', '원하다', '간단하다', '이다', '갖다', '대다', '갖다', 'talk', 'fit', 'eye', 'give', 'start', 'night', 'want', 'someone', 'takin', 'hand', 'baby', 'baby', 'baby', 'takin', 'time', 'set', 'action', 'income', 'hear', 'date']"
9,Topic 2 (Generated),2025-12-03 18:22:40,"달해 더 쎄게
세게 밀어올린 당긴 허리춤에
좀 더 강하게 홀렸어 
Oh, can't you know?
네 맘을 좀 tell me pumping (Mm-mo)
숨 크게 들이쉬고 hungeeup-three-down, baby
뒤꿈치를 aheat swagegin', oh-oh-ah-ah
또 한번 rush for you and I like the world dare!
(Form, with errdays in nights, forry, yeah)

Yo, let's place to this, just special
Just follow baby, get think of engine
They'll alright your found on move, girl
Amazing for you with",달해 더 쎄게 세게 밀어올린 당긴 허리춤에 좀 더 강하게 홀렸어 네 맘을 좀 숨 크게 들이쉬고 뒤꿈치를 또 한번,Oh can t you know tell me pumping Mm mo hungeeup three down baby aheat swagegin oh oh ah ah rush for you and I like the world dare Form with errdays in nights forry yeah Yo let s place to this just special Just follow baby get think of engine They ll alright your found on move girl Amazing for you with,"['달다', '쎄다', '세다', '밀다', '올리다', '당기다', '허리춤', '강하다', '홀렸어', '크게', '들이다', '뒤꿈치', '한번']","['tell', 'pump', 'hungeeup', 'baby', 'aheat', 'swagegin', 'rush', 'world', 'dare', 'form', 'errday', 'night', 'forry', 'place', 'special', 'follow', 'baby', 'think', 'engine', 'alright', 'find', 'move', 'girl', 'amazing']","['달다', '쎄다', '세다', '밀다', '올리다', '당기다', '허리춤', '강하다', '홀렸어', '크게', '들이다', '뒤꿈치', '한번', 'tell', 'pump', 'hungeeup', 'baby', 'aheat', 'swagegin', 'rush', 'world', 'dare', 'form', 'errday', 'night', 'forry', 'place', 'special', 'follow', 'baby', 'think', 'engine', 'alright', 'find', 'move', 'girl', 'amazing']"
10,Topic 2 (Generated),2025-12-03 18:22:44,"날 날뛸 이 밤의 함성
그 함성이면 생각해볼까?'
어떻게 하면 좋을지 그 방법을 찾아봐도 (이건 내가다)
아무런 매력 없이 순수한 그녀는
내겐 보이지 않는 속꺼리
때로는 불안해서 절대 너를 알 수 없게 되어버려서
어쩌면 좋아 그녀가 그렇게 서두를까
몰라보게 그녀와 나 사이를엔 아무런 느낌 없는걸 yeah, I'm breakfast on me?
I call over the night long, fly high going and sweets, with watch for pains if I’m a-broken rock thriller (About to do)
나를 대신할 누군가 필요해
(Ayy, you know?)
특별한 날을 만들지 말란 법을 갖고 있을까?
그것도 나에게 있어 어떡하지?
(Ooh-wah, ooh-wah—",날 날뛸 이 밤의 함성 그 함성이면 생각해볼까 어떻게 하면 좋을지 그 방법을 찾아봐도 이건 내가다 아무런 매력 없이 순수한 그녀는 내겐 보이지 않는 속꺼리 때로는 불안해서 절대 너를 알 수 없게 되어버려서 어쩌면 좋아 그녀가 그렇게 서두를까 몰라보게 그녀와 나 사이를엔 아무런 느낌 없는걸 나를 대신할 누군가 필요해 특별한 날을 만들지 말란 법을 갖고 있을까 그것도 나에게 있어 어떡하지,yeah I m breakfast on me I call over the night long fly high going and sweets with watch for pains if I m a broken rock thriller About to do Ayy you know Ooh wah ooh wah,"['날뛰다', '함성', '함성', '생각', '해보다', '어떻다', '좋다', '방법', '찾아보다', '내다', '아무렇다', '매력', '순수하다', '그녀', '내겐', '보이지', '꺼리다', '때로는', '불안하다', '절대', '되어다', '버리다', '어쩌면', '좋다', '그녀', '서두르다', '모르다', '그녀', '아무렇다', '느낌', '나르다', '대신', '누군가', '필요하다', '특별하다', '만들다', '말다', '갖다', '그것']","['breakfast', 'call', 'night', 'long', 'fly', 'high', 'going', 'sweet', 'watch', 'pain', 'broken', 'rock', 'thriller', 'wah', 'wah']","['날뛰다', '함성', '함성', '생각', '해보다', '어떻다', '좋다', '방법', '찾아보다', '내다', '아무렇다', '매력', '순수하다', '그녀', '내겐', '보이지', '꺼리다', '때로는', '불안하다', '절대', '되어다', '버리다', '어쩌면', '좋다', '그녀', '서두르다', '모르다', '그녀', '아무렇다', '느낌', '나르다', '대신', '누군가', '필요하다', '특별하다', '만들다', '말다', '갖다', '그것', 'breakfast', 'call', 'night', 'long', 'fly', 'high', 'going', 'sweet', 'watch', 'pain', 'broken', 'rock', 'thriller', 'wah', 'wah']"
